N,S1,S2,relDifer
61301,11.6007,11.6008,1.06692e-05
61401,11.6023,11.6024,1.15037e-05
61501,11.6039,11.604,1.19209e-05
61601,11.6055,11.6057,1.2219e-05
61701,11.6071,11.6073,1.23978e-05
61801,11.6088,11.6089,1.2219e-05
61901,11.6104,11.6105,1.18017e-05
62001,11.612,11.6121,1.11461e-05
62101,11.6136,11.6138,1.03712e-05
62201,11.6153,11.6154,9.35793e-06
62301,11.6169,11.617,8.04663e-06
62401,11.6185,11.6186,6.55651e-06
62501,11.6201,11.6202,4.76837e-06
62601,11.6217,11.6218,2.80142e-06
62701,11.6234,11.6234,6.55651e-07
62801,11.625,11.625,1.66893e-06
62901,11.6266,11.6266,4.29153e-06
63001,11.6282,11.6281,7.27177e-06
63101,11.6298,11.6297,1.01328e-05
63201,11.6315,11.6313,1.33514e-05
63301,11.6331,11.6329,1.69277e-05
63401,11.6347,11.6345,2.0504e-05
63501,11.6363,11.636,2.43187e-05
63601,11.6379,11.6376,2.41995e-05
63701,11.6394,11.6392,2.03848e-05
63801,11.641,11.6408,1.66893e-05
63901,11.6425,11.6423,1.32322e-05
64001,11.644,11.6439,1.01328e-05
64101,11.6455,11.6455,6.91414e-06
64201,11.6471,11.647,4.29153e-06
64301,11.6486,11.6486,1.66893e-06
64401,11.6501,11.6501,8.34465e-07
64501,11.6516,11.6517,3.03984e-06
64601,11.6532,11.6532,5.00679e-06
64701,11.6547,11.6548,6.97374e-06
64801,11.6562,11.6563,8.34465e-06
64901,11.6577,11.6579,9.83477e-06
65001,11.6593,11.6594,1.09076e-05
65101,11.6608,11.6609,1.18613e-05
65201,11.6623,11.6625,1.25766e-05
65301,11.6638,11.664,1.32322e-05
65401,11.6654,11.6655,1.34706e-05
65501,11.6669,11.6671,1.37091e-05
65601,11.6684,11.6686,1.38283e-05
65701,11.6699,11.6701,1.34706e-05
65801,11.6715,11.6716,1.30534e-05
65901,11.673,11.6731,1.23382e-05
66001,11.6745,11.6747,1.16229e-05
66101,11.676,11.6762,1.055e-05
66201,11.6776,11.6777,9.29832e-06
66301,11.6791,11.6792,7.86781e-06
66401,11.6806,11.6807,6.25849e-06
66501,11.6822,11.6822,4.41074e-06
66601,11.6837,11.6837,2.5034e-06
66701,11.6852,11.6852,2.98023e-07
66801,11.6867,11.6867,2.14577e-06
66901,11.6883,11.6882,4.64916e-06
67001,11.6898,11.6897,7.39098e-06
